id,number,manufacturer,name,description,productStatus,inventory,price
W11562216,W11562216,Whirlpool,Heat Shield,Heat Shield,backordered,0,$26.20
W11567497,W11567497,Whirlpool,"Strap, Bale","Strap, Bale",backordered,0,$71.00
W11399989,W11399989,Whirlpool,Heat Probe,Heat Probe,backordered,0,$13.00
WP489478,WP489478,Whirlpool,Screw,Screw,backordered,0,$4.80
W11611445,W11611445,Whirlpool,"Harness, Unit","Harness, Unit",backordered,0,$47.00
WPW10339879,WPW10339879,Whirlpool,"Tie, Wire","Tie, Wire",backordered,0,$4.80
W11736795,W11736795,Whirlpool,"Bracket, Fan","Bracket, Fan",backordered,0,$41.60
W11678963,W11678963,Whirlpool,"Grommet, Compressor","Grommet, Compressor",backordered,0,$4.80
W11547180,W11547180,Whirlpool,"Device, Combination Start (start Relay And Overload)","Device, Combination Start (start Relay And Overload)",in_stock,61,$38.80
2219077,2219077,Whirlpool,"Clip, Harness","Clip, Harness",backordered,0,$41.00
WPW10475495,WPW10475495,Whirlpool,"Roller 
(Replaces: W10475495)","Roller 
(Replaces: W10475495)",in_stock,54,$19.60
W11594405,W11594405,Whirlpool,"Axle, Rivet (Replaces: 2179826)","Axle, Rivet (Replaces: 2179826)",backordered,0,$11.20
W10812039,W10812039,Whirlpool,"Clip, Wire","Clip, Wire",backordered,0,$6.70
W11417341,W11417341,Whirlpool,Screw,Screw,backordered,0,$8.70
W11340313,W11340313,Whirlpool,"Bracket, Evaporator","Bracket, Evaporator",backordered,0,$46.40
W10829281,W10829281,Whirlpool,Screw,Screw,backordered,0,$7.80
W11127829,W11127829,Whirlpool,"Motor, Condenser Fan","Motor, Condenser Fan",in_stock,71,$181.80
W10843121,W10843121,Whirlpool,"Drier (service Drier Without Dye) (also Order The Following Lokringâ¢ Parts) 
(Replaces: W10805035)","Drier (service Drier Without Dye) (also Order The Following Lokringâ¢ Parts) 
(Replaces: W10805035)",in_stock,37,$31.80
